Serial number: 553132313031082E13,,,,,,,,,,,
Software version: 3.0,,,,,,,,,,,
,,,,,,,,,,,
millis,stampunix,datetime,RH,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber
49999,1710776847, 2024/3/18 15:47:27,49.39,23.8,257.25,2522.06,4116.21,38.46,24.48,2885,24
51999,1710776849, 2024/3/18 15:47:29,49.32,23.78,258.94,2522.44,4116.21,38.46,24.48,2885,25
53999,1710776851, 2024/3/18 15:47:31,49.26,23.78,261,2522.62,4121.09,38.46,24.48,2885,26
55999,1710776853, 2024/3/18 15:47:33,49.22,23.77,262.69,2523.19,4121.09,38.46,24.48,2885,27
57998,1710776855, 2024/3/18 15:47:35,49.21,23.77,264,2522.44,4199.22,38.46,24.48,2885,28
59999,1710776857, 2024/3/18 15:47:37,49.21,23.78,266.06,2523.19,4194.34,38.46,24.48,2885,29
61999,1710776859, 2024/3/18 15:47:39,49.23,23.76,267.75,2523.19,4199.22,38.46,24.48,2885,30
63998,1710776861, 2024/3/18 15:47:41,49.28,23.78,270.19,2524.12,4189.45,39.18,24.91,2743,31
65999,1710776863, 2024/3/18 15:47:43,49.3,23.77,272.06,2524.69,4184.57,39.18,24.91,2743,32
67999,1710776865, 2024/3/18 15:47:45,49.4,23.79,274.31,2525.06,4101.56,39.18,24.91,2743,33
70000,1710776867, 2024/3/18 15:47:47,49.47,23.8,276.38,2525.25,4116.21,39.18,24.91,2743,34
71999,1710776869, 2024/3/18 15:47:49,49.59,23.81,278.44,2526,4116.21,39.18,24.91,2743,35
73999,1710776871, 2024/3/18 15:47:51,49.72,23.79,280.5,2526.37,4121.09,39.18,24.91,2743,36
75999,1710776873, 2024/3/18 15:47:53,49.81,23.79,282.56,2526.75,4121.09,39.18,24.91,2743,37
78000,1710776875, 2024/3/18 15:47:55,49.97,23.79,284.06,2526.75,4199.22,39.18,24.91,2743,38
80000,1710776877, 2024/3/18 15:47:57,50.12,23.78,286.5,2527.31,4199.22,39.18,24.91,2743,39
81999,1710776879, 2024/3/18 15:47:59,50.35,23.82,288.38,2527.12,4199.22,39.18,24.91,2743,40
84000,1710776881, 2024/3/18 15:48:1,50.51,23.81,291.38,2528.44,4184.57,39.53,25.36,2665,41
85999,1710776883, 2024/3/18 15:48:3,50.69,23.8,293.81,2529.19,4189.45,39.53,25.36,2665,42
87999,1710776885, 2024/3/18 15:48:5,50.87,23.81,296.06,2529.94,4096.68,39.53,25.36,2665,43
89999,1710776887, 2024/3/18 15:48:7,51.04,23.84,298.13,2530.13,4096.68,39.53,25.36,2665,44
91999,1710776889, 2024/3/18 15:48:9,51.26,23.83,300.38,2530.5,4116.21,39.53,25.36,2665,45
94000,1710776891, 2024/3/18 15:48:11,51.45,23.82,302.63,2531.25,4121.09,39.53,25.36,2665,46
96000,1710776893, 2024/3/18 15:48:13,51.69,23.85,305.25,2531.62,4121.09,39.53,25.36,2665,47
97999,1710776895, 2024/3/18 15:48:15,51.87,23.84,306.75,2531.62,4199.22,39.53,25.36,2665,48
99999,1710776897, 2024/3/18 15:48:17,52.1,23.85,309.19,2532,4199.22,39.53,25.36,2665,49
101999,1710776899, 2024/3/18 15:48:19,52.28,23.88,311.25,2533.12,4199.22,39.53,25.36,2665,50
103999,1710776901, 2024/3/18 15:48:21,52.42,23.87,314.25,2533.87,4184.57,39.86,25.79,2586,51
106000,1710776903, 2024/3/18 15:48:23,52.66,23.89,316.13,2534.44,4189.45,39.86,25.79,2586,52
107999,1710776905, 2024/3/18 15:48:25,52.84,23.89,318.38,2534.62,4096.68,39.86,25.79,2586,53
109999,1710776907, 2024/3/18 15:48:27,52.99,23.91,320.25,2535.56,4096.68,39.86,25.79,2586,54
112000,1710776909, 2024/3/18 15:48:29,53.17,23.92,322.31,2535.94,4116.21,39.86,25.79,2586,55
113999,1710776911, 2024/3/18 15:48:31,53.34,23.92,324.38,2536.5,4121.09,39.86,25.79,2586,56
115998,1710776913, 2024/3/18 15:48:33,53.49,23.93,326.06,2537.44,4121.09,39.86,25.79,2586,57
117999,1710776915, 2024/3/18 15:48:35,53.64,23.94,327.38,2537.44,4199.22,39.86,25.79,2586,58
119999,1710776917, 2024/3/18 15:48:37,53.76,23.96,329.06,2537.81,4199.22,39.86,25.79,2586,59
121999,1710776919, 2024/3/18 15:48:39,53.9,23.96,330.94,2538.56,4199.22,39.86,25.79,2586,60
124000,1710776921, 2024/3/18 15:48:41,54.06,23.96,333.38,2539.87,4184.57,40.43,26.2,2558,61
125999,1710776923, 2024/3/18 15:48:43,54.18,23.97,334.88,2540.25,4189.45,40.43,26.2,2558,62
127998,1710776925, 2024/3/18 15:48:45,54.32,23.99,336.56,2540.62,4096.68,40.43,26.2,2558,63
129999,1710776927, 2024/3/18 15:48:47,54.45,24.02,338.25,2541.37,4096.68,40.43,26.2,2558,64
131999,1710776929, 2024/3/18 15:48:49,54.54,24.02,339.94,2541.75,4116.21,40.43,26.2,2558,65
133999,1710776931, 2024/3/18 15:48:51,54.68,24.04,341.44,2542.5,4121.09,40.43,26.2,2558,66
135999,1710776933, 2024/3/18 15:48:53,54.81,24.04,343.31,2543.25,4121.09,40.43,26.2,2558,67
138000,1710776935, 2024/3/18 15:48:55,54.89,24.07,344.25,2543.06,4199.22,40.43,26.2,2558,68
139999,1710776937, 2024/3/18 15:48:57,55.02,24.08,345.94,2543.81,4199.22,40.43,26.2,2558,69
141999,1710776939, 2024/3/18 15:48:59,55.09,24.08,347.25,2544.37,4199.22,40.43,26.2,2558,70
143998,1710776941, 2024/3/18 15:49:1,55.25,24.1,349.31,2545.5,4189.45,41.16,26.6,2536,71
145998,1710776943, 2024/3/18 15:49:3,55.35,24.13,351,2546.06,4189.45,41.16,26.6,2536,72
147999,1710776945, 2024/3/18 15:49:5,55.4,24.12,352.31,2546.63,4184.57,41.16,26.6,2536,73
149999,1710776947, 2024/3/18 15:49:7,55.53,24.14,354,2547.19,4096.68,41.16,26.6,2536,74
151999,1710776949, 2024/3/18 15:49:9,55.61,24.18,355.13,2547.75,4116.21,41.16,26.6,2536,75
153999,1710776952, 2024/3/18 15:49:12,55.69,24.18,356.63,2548.31,4121.09,41.16,26.6,2536,76
155999,1710776954, 2024/3/18 15:49:14,55.8,24.18,358.13,2549.06,4121.09,41.16,26.6,2536,77
157999,1710776955, 2024/3/18 15:49:15,55.88,24.23,359.06,2549.25,4199.22,41.16,26.6,2536,78
159998,1710776957, 2024/3/18 15:49:17,55.94,24.22,360.38,2549.81,4199.22,41.16,26.6,2536,79
161999,1710776959, 2024/3/18 15:49:19,56.04,24.24,361.88,2550.56,4199.22,41.16,26.6,2536,80
163999,1710776961, 2024/3/18 15:49:21,56.13,24.27,363.56,2551.87,4189.45,41.92,26.98,2534,81
165999,1710776963, 2024/3/18 15:49:23,56.2,24.3,365.06,2552.25,4189.45,41.92,26.98,2534,82
167999,1710776965, 2024/3/18 15:49:25,56.26,24.3,366.38,2552.81,4189.45,41.92,26.98,2534,83
169999,1710776967, 2024/3/18 15:49:27,56.3,24.31,367.69,2553.37,4189.45,41.92,26.98,2534,84
172000,1710776969, 2024/3/18 15:49:29,56.4,24.32,369.19,2554.12,4189.45,41.92,26.98,2534,85
174000,1710776971, 2024/3/18 15:49:31,56.49,24.33,370.31,2554.69,4189.45,41.92,26.98,2534,86
176000,1710776973, 2024/3/18 15:49:33,56.55,24.35,371.63,2555.25,4096.68,41.92,26.98,2534,87
177999,1710776975, 2024/3/18 15:49:35,56.6,24.36,372.38,2555.25,4199.22,41.92,26.98,2534,88
179999,1710776978, 2024/3/18 15:49:38,56.63,24.39,373.69,2555.81,4199.22,41.92,26.98,2534,89
181999,1710776980, 2024/3/18 15:49:40,56.72,24.41,375,2556.56,4199.22,41.92,26.98,2534,90
184000,1710776982, 2024/3/18 15:49:42,56.72,24.4,376.69,2557.5,4184.57,42.65,27.32,2527,91
185999,1710776984, 2024/3/18 15:49:44,56.82,24.44,378,2558.25,4184.57,42.65,27.32,2527,92
187999,1710776986, 2024/3/18 15:49:46,56.85,24.46,379.13,2558.81,4189.45,42.65,27.32,2527,93
189999,1710776988, 2024/3/18 15:49:48,56.91,24.47,380.25,2559.37,4096.68,42.65,27.32,2527,94
191998,1710776990, 2024/3/18 15:49:50,56.93,24.5,381.56,2559.75,4116.21,42.65,27.32,2527,95
193999,1710776992, 2024/3/18 15:49:52,56.99,24.51,382.5,2560.69,4121.09,42.65,27.32,2527,96
195999,1710776994, 2024/3/18 15:49:54,57.06,24.53,383.63,2560.87,4121.09,42.65,27.32,2527,97
197999,1710776996, 2024/3/18 15:49:56,57.05,24.53,384.19,2561.06,4199.22,42.65,27.32,2527,98
199999,1710776998, 2024/3/18 15:49:58,57.12,24.55,385.31,2561.62,4199.22,42.65,27.32,2527,99
201999,1710777000, 2024/3/18 15:50:0,57.13,24.57,386.25,2561.81,4199.22,42.65,27.32,2527,100
203999,1710777002, 2024/3/18 15:50:2,57.18,24.58,387.75,2563.5,4184.57,43.3,27.67,2530,101
205999,1710777004, 2024/3/18 15:50:4,57.21,24.6,388.69,2563.87,4189.45,43.3,27.67,2530,102
207998,1710777006, 2024/3/18 15:50:6,57.24,24.61,389.81,2564.44,4184.57,43.3,27.67,2530,103
209999,1710777008, 2024/3/18 15:50:8,57.32,24.64,390.94,2564.81,4096.68,43.3,27.67,2530,104
211999,1710777010, 2024/3/18 15:50:10,57.31,24.68,391.88,2565.37,4116.21,43.3,27.67,2530,105
213999,1710777012, 2024/3/18 15:50:12,57.35,24.69,392.81,2566.12,4116.21,43.3,27.67,2530,106
215999,1710777014, 2024/3/18 15:50:14,57.37,24.7,393.75,2566.5,4121.09,43.3,27.67,2530,107
217999,1710777016, 2024/3/18 15:50:16,57.42,24.71,394.13,2566.5,4199.22,43.3,27.67,2530,108
220000,1710777018, 2024/3/18 15:50:18,57.44,24.74,395.06,2567.06,4199.22,43.3,27.67,2530,109
221999,1710777020, 2024/3/18 15:50:20,57.44,24.76,395.81,2567.81,4199.22,43.3,27.67,2530,110
224000,1710777022, 2024/3/18 15:50:22,57.48,24.78,397.13,2568.75,4184.57,43.84,27.98,2529,111
226000,1710777024, 2024/3/18 15:50:24,57.51,24.8,398.25,2569.12,4184.57,43.84,27.98,2529,112
227999,1710777026, 2024/3/18 15:50:26,57.5,24.8,399,2569.69,4184.57,43.84,27.98,2529,113
229999,1710777028, 2024/3/18 15:50:28,57.54,24.81,399.94,2570.44,4096.68,43.84,27.98,2529,114
231999,1710777030, 2024/3/18 15:50:30,57.52,24.84,400.69,2570.62,4116.21,43.84,27.98,2529,115
233999,1710777032, 2024/3/18 15:50:32,57.57,24.86,401.63,2571.38,4116.21,43.84,27.98,2529,116
235999,1710777034, 2024/3/18 15:50:34,57.59,24.88,402.38,2571.94,4121.09,43.84,27.98,2529,117
237999,1710777036, 2024/3/18 15:50:36,57.61,24.89,402.75,2571.56,4199.22,43.84,27.98,2529,118
240000,1710777038, 2024/3/18 15:50:38,57.63,24.9,403.31,2572.12,4199.22,43.84,27.98,2529,119
241999,1710777040, 2024/3/18 15:50:40,57.64,24.9,404.44,2572.69,4199.22,43.84,27.98,2529,120
243998,1710777042, 2024/3/18 15:50:42,57.63,24.94,405.75,2573.81,4184.57,44.27,28.28,2527,121
245999,1710777044, 2024/3/18 15:50:44,57.64,24.94,406.5,2574.37,4184.57,44.27,28.28,2527,122
247999,1710777046, 2024/3/18 15:50:46,57.68,24.98,407.25,2574.56,4184.57,44.27,28.28,2527,123
249999,1710777048, 2024/3/18 15:50:48,57.66,25,408.19,2575.12,4096.68,44.27,28.28,2527,124
252000,1710777050, 2024/3/18 15:50:50,57.7,25.01,408.75,2575.69,4096.68,44.27,28.28,2527,125
253999,1710777052, 2024/3/18 15:50:52,57.68,25.01,409.5,2576.06,4116.21,44.27,28.28,2527,126
256000,1710777054, 2024/3/18 15:50:54,57.73,25.06,410.25,2576.44,4121.09,44.27,28.28,2527,127
257998,1710777056, 2024/3/18 15:50:56,57.74,25.06,410.25,2576.44,4199.22,44.27,28.28,2527,128
259999,1710777058, 2024/3/18 15:50:58,57.72,25.07,411.19,2577,4199.22,44.27,28.28,2527,129
261999,1710777060, 2024/3/18 15:51:0,57.73,25.1,411.94,2577.56,4199.22,44.27,28.28,2527,130
263999,1710777062, 2024/3/18 15:51:2,57.72,25.11,413.25,2578.5,4184.57,44.59,28.57,2529,131
265999,1710777064, 2024/3/18 15:51:4,57.76,25.15,413.81,2579.06,4184.57,44.59,28.57,2529,132
267999,1710777066, 2024/3/18 15:51:6,57.75,25.17,414.56,2579.44,4184.57,44.59,28.57,2529,133
270000,1710777068, 2024/3/18 15:51:8,57.76,25.16,415.13,2579.81,4091.8,44.59,28.57,2529,134
271998,1710777070, 2024/3/18 15:51:10,57.78,25.18,415.69,2580.19,4091.8,44.59,28.57,2529,135
273999,1710777072, 2024/3/18 15:51:12,57.76,25.23,416.63,2580.56,4116.21,44.59,28.57,2529,136
275998,1710777074, 2024/3/18 15:51:14,57.78,25.22,417.19,2581.12,4121.09,44.59,28.57,2529,137
277999,1710777076, 2024/3/18 15:51:16,57.74,25.21,417.19,2580.94,4199.22,44.59,28.57,2529,138
279999,1710777078, 2024/3/18 15:51:18,57.79,25.26,418.13,2581.5,4199.22,44.59,28.57,2529,139
281999,1710777080, 2024/3/18 15:51:20,57.79,25.28,418.88,2582.06,4199.22,44.59,28.57,2529,140
283999,1710777082, 2024/3/18 15:51:22,57.78,25.27,419.81,2582.81,4184.57,44.81,28.83,2534,141
286000,1710777084, 2024/3/18 15:51:24,57.79,25.32,420.38,2583.19,4184.57,44.81,28.83,2534,142
287998,1710777086, 2024/3/18 15:51:26,57.77,25.32,421.13,2583.94,4184.57,44.81,28.83,2534,143
289999,1710777088, 2024/3/18 15:51:28,57.79,25.35,421.88,2584.5,4091.8,44.81,28.83,2534,144
291999,1710777090, 2024/3/18 15:51:30,57.78,25.36,422.63,2584.87,4091.8,44.81,28.83,2534,145
293999,1710777092, 2024/3/18 15:51:32,57.79,25.38,423,2585.06,4116.21,44.81,28.83,2534,146
295999,1710777094, 2024/3/18 15:51:34,57.75,25.41,423.94,2585.44,4111.33,44.81,28.83,2534,147
297999,1710777096, 2024/3/18 15:51:36,57.75,25.42,423.94,2585.06,4199.22,44.81,28.83,2534,148
299999,1710777098, 2024/3/18 15:51:38,57.76,25.43,424.5,2585.81,4199.22,44.81,28.83,2534,149
301999,1710777100, 2024/3/18 15:51:40,57.76,25.45,425.06,2586,4199.22,44.81,28.83,2534,150
303998,1710777102, 2024/3/18 15:51:42,57.77,25.45,426.38,2587.12,4184.57,44.96,29.09,2533,151
305999,1710777104, 2024/3/18 15:51:44,57.77,25.48,427.13,2587.31,4184.57,44.96,29.09,2533,152
307999,1710777106, 2024/3/18 15:51:46,57.76,25.48,427.69,2587.69,4184.57,44.96,29.09,2533,153
309999,1710777108, 2024/3/18 15:51:48,57.78,25.52,428.44,2588.25,4096.68,44.96,29.09,2533,154
311999,1710777110, 2024/3/18 15:51:50,57.75,25.51,429,2588.44,4101.56,44.96,29.09,2533,155
314000,1710777112, 2024/3/18 15:51:52,57.76,25.54,429.75,2589,4116.21,44.96,29.09,2533,156
315999,1710777114, 2024/3/18 15:51:54,57.72,25.56,430.13,2589.37,4121.09,44.96,29.09,2533,157
318000,1710777116, 2024/3/18 15:51:56,57.75,25.6,430.13,2588.81,4199.22,44.96,29.09,2533,158
320000,1710777118, 2024/3/18 15:51:58,57.75,25.58,430.69,2589.56,4199.22,44.96,29.09,2533,159
321998,1710777120, 2024/3/18 15:52:0,57.69,25.61,431.63,2589.94,4199.22,44.96,29.09,2533,160
323999,1710777122, 2024/3/18 15:52:2,57.75,25.64,432.56,2590.69,4184.57,45.04,29.33,2532,161
325999,1710777124, 2024/3/18 15:52:4,57.67,25.64,433.13,2591.06,4184.57,45.04,29.33,2532,162
327999,1710777126, 2024/3/18 15:52:6,57.7,25.68,433.69,2591.44,4184.57,45.04,29.33,2532,163
329999,1710777128, 2024/3/18 15:52:8,57.7,25.68,434.25,2591.44,4096.68,45.04,29.33,2532,164
331999,1710777130, 2024/3/18 15:52:10,57.66,25.68,435,2592.37,4101.56,45.04,29.33,2532,165
334000,1710777132, 2024/3/18 15:52:12,57.68,25.74,435.56,2592.56,4116.21,45.04,29.33,2532,166
336000,1710777134, 2024/3/18 15:52:14,57.67,25.73,436.13,2592.75,4116.21,45.04,29.33,2532,167
337999,1710777136, 2024/3/18 15:52:16,57.62,25.72,436.13,2592.56,4199.22,45.04,29.33,2532,168
339999,1710777138, 2024/3/18 15:52:18,57.67,25.74,436.69,2592.94,4199.22,45.04,29.33,2532,169
341999,1710777140, 2024/3/18 15:52:20,57.64,25.77,437.25,2593.31,4199.22,45.04,29.33,2532,170
343999,1710777142, 2024/3/18 15:52:22,57.62,25.79,438.56,2594.44,4184.57,45.03,29.56,2534,171
345999,1710777144, 2024/3/18 15:52:24,57.6,25.79,439.13,2594.44,4184.57,45.03,29.56,2534,172
347999,1710777146, 2024/3/18 15:52:26,57.6,25.83,439.5,2595.19,4184.57,45.03,29.56,2534,173
349999,1710777148, 2024/3/18 15:52:28,57.62,25.84,439.88,2595.19,4184.57,45.03,29.56,2534,174
351998,1710777150, 2024/3/18 15:52:30,57.57,25.85,440.63,2595.75,4184.57,45.03,29.56,2534,175
353999,1710777152, 2024/3/18 15:52:32,57.58,25.84,441.19,2595.94,4184.57,45.03,29.56,2534,176
355999,1710777154, 2024/3/18 15:52:34,57.54,25.87,441.75,2596.13,4184.57,45.03,29.56,2534,177
357999,1710777156, 2024/3/18 15:52:36,57.53,25.88,441.75,2596.13,4199.22,45.03,29.56,2534,178
359999,1710777158, 2024/3/18 15:52:38,57.55,25.91,442.13,2596.31,4199.22,45.03,29.56,2534,179
361999,1710777160, 2024/3/18 15:52:40,57.52,25.92,442.69,2596.69,4194.34,45.03,29.56,2534,180
364000,1710777162, 2024/3/18 15:52:42,57.51,25.95,443.81,2597.44,4184.57,44.97,29.79,2534,181
365999,1710777164, 2024/3/18 15:52:44,57.5,25.93,444.38,2597.81,4184.57,44.97,29.79,2534,182
367998,1710777166, 2024/3/18 15:52:46,57.5,25.96,444.75,2598.19,4184.57,44.97,29.79,2534,183
369999,1710777168, 2024/3/18 15:52:48,57.5,25.95,445.31,2598.56,4101.56,44.97,29.79,2534,184
371999,1710777170, 2024/3/18 15:52:50,57.49,26,446.06,2598.94,4101.56,44.97,29.79,2534,185
373999,1710777172, 2024/3/18 15:52:52,57.45,26.03,446.44,2599.12,4111.33,44.97,29.79,2534,186
375999,1710777174, 2024/3/18 15:52:54,57.44,26.02,446.81,2599.5,4111.33,44.97,29.79,2534,187
378000,1710777176, 2024/3/18 15:52:56,57.45,26.02,446.81,2599.12,4199.22,44.97,29.79,2534,188
379999,1710777178, 2024/3/18 15:52:58,57.4,26.05,447.38,2599.69,4199.22,44.97,29.79,2534,189
381999,1710777180, 2024/3/18 15:53:0,57.43,26.08,447.75,2600.06,4194.34,44.97,29.79,2534,190
383998,1710777182, 2024/3/18 15:53:2,57.4,26.07,448.88,2600.81,4184.57,44.88,30.01,2535,191
385999,1710777184, 2024/3/18 15:53:4,57.38,26.09,449.25,2601.19,4184.57,44.88,30.01,2535,192
387999,1710777186, 2024/3/18 15:53:6,57.37,26.11,449.81,2601.19,4184.57,44.88,30.01,2535,193
389999,1710777188, 2024/3/18 15:53:8,57.4,26.11,450.19,2601.56,4101.56,44.88,30.01,2535,194
391999,1710777190, 2024/3/18 15:53:10,57.34,26.13,450.75,2601.94,4096.68,44.88,30.01,2535,195
393999,1710777192, 2024/3/18 15:53:12,57.32,26.16,451.31,2602.5,4111.33,44.88,30.01,2535,196
395998,1710777194, 2024/3/18 15:53:14,57.31,26.17,451.69,2602.31,4116.21,44.88,30.01,2535,197
398000,1710777196, 2024/3/18 15:53:16,57.28,26.16,451.69,2602.31,4199.22,44.88,30.01,2535,198
399998,1710777198, 2024/3/18 15:53:18,57.3,26.18,452.25,2602.31,4194.34,44.88,30.01,2535,199
401999,1710777200, 2024/3/18 15:53:20,57.29,26.19,452.63,2602.69,4199.22,44.88,30.01,2535,200
403999,1710777202, 2024/3/18 15:53:22,57.28,26.22,453.56,2603.62,4184.57,44.72,30.21,2542,201
405999,1710777204, 2024/3/18 15:53:24,57.26,26.24,454.13,2603.81,4184.57,44.72,30.21,2542,202
407999,1710777206, 2024/3/18 15:53:26,57.25,26.25,454.69,2604.38,4184.57,44.72,30.21,2542,203
409999,1710777208, 2024/3/18 15:53:28,57.22,26.26,455.06,2604.56,4184.57,44.72,30.21,2542,204
412000,1710777210, 2024/3/18 15:53:30,57.22,26.26,455.63,2604.56,4101.56,44.72,30.21,2542,205
414000,1710777212, 2024/3/18 15:53:32,57.21,26.29,456.19,2605.12,4111.33,44.72,30.21,2542,206
416000,1710777214, 2024/3/18 15:53:34,57.18,26.3,456.56,2605.31,4111.33,44.72,30.21,2542,207
417999,1710777216, 2024/3/18 15:53:36,57.18,26.31,456.56,2604.94,4194.34,44.72,30.21,2542,208
419999,1710777218, 2024/3/18 15:53:38,57.17,26.34,457.13,2605.31,4194.34,44.72,30.21,2542,209
421999,1710777220, 2024/3/18 15:53:40,57.12,26.33,457.5,2605.5,4194.34,44.72,30.21,2542,210
424000,1710777222, 2024/3/18 15:53:42,57.13,26.36,458.63,2606.62,4184.57,44.55,30.41,2542,211
425999,1710777224, 2024/3/18 15:53:44,57.13,26.36,459,2606.62,4184.57,44.55,30.41,2542,212
427999,1710777226, 2024/3/18 15:53:46,57.11,26.39,459.38,2607,4184.57,44.55,30.41,2542,213
429999,1710777228, 2024/3/18 15:53:48,57.08,26.4,459.94,2607.19,4101.56,44.55,30.41,2542,214
432000,1710777230, 2024/3/18 15:53:50,57.07,26.4,460.31,2607.75,4096.68,44.55,30.41,2542,215
433999,1710777232, 2024/3/18 15:53:52,57.07,26.46,461.06,2607.75,4111.33,44.55,30.41,2542,216
435999,1710777234, 2024/3/18 15:53:54,57.05,26.45,461.44,2607.94,4111.33,44.55,30.41,2542,217
437999,1710777236, 2024/3/18 15:53:56,57.02,26.44,461.44,2607.75,4199.22,44.55,30.41,2542,218
439999,1710777238, 2024/3/18 15:53:58,57.01,26.46,462,2608.12,4194.34,44.55,30.41,2542,219
441999,1710777240, 2024/3/18 15:54:0,56.99,26.47,462.38,2608.12,4194.34,44.55,30.41,2542,220
443999,1710777242, 2024/3/18 15:54:2,56.99,26.5,463.5,2609.06,4184.57,44.35,30.58,2536,221
446000,1710777244, 2024/3/18 15:54:4,56.96,26.49,463.88,2609.06,4184.57,44.35,30.58,2536,222
447998,1710777246, 2024/3/18 15:54:6,56.96,26.5,464.25,2609.25,4184.57,44.35,30.58,2536,223
449999,1710777248, 2024/3/18 15:54:8,56.95,26.54,464.81,2609.81,4096.68,44.35,30.58,2536,224
451999,1710777250, 2024/3/18 15:54:10,56.95,26.53,465.38,2610.19,4096.68,44.35,30.58,2536,225
453999,1710777252, 2024/3/18 15:54:12,56.9,26.56,465.75,2610,4111.33,44.35,30.58,2536,226
455999,1710777254, 2024/3/18 15:54:14,56.89,26.57,466.13,2610.37,4111.33,44.35,30.58,2536,227
457999,1710777256, 2024/3/18 15:54:16,56.91,26.57,465.94,2610.19,4194.34,44.35,30.58,2536,228
460000,1710777258, 2024/3/18 15:54:18,56.87,26.58,466.5,2610.19,4194.34,44.35,30.58,2536,229
461999,1710777260, 2024/3/18 15:54:20,56.85,26.6,466.88,2610.56,4194.34,44.35,30.58,2536,230
464000,1710777262, 2024/3/18 15:54:22,56.82,26.6,468,2611.31,4184.57,44.14,30.76,2537,231
465999,1710777264, 2024/3/18 15:54:24,56.84,26.64,468.38,2611.87,4184.57,44.14,30.76,2537,232
467999,1710777266, 2024/3/18 15:54:26,56.81,26.63,468.75,2611.87,4184.57,44.14,30.76,2537,233
469999,1710777268, 2024/3/18 15:54:28,56.79,26.64,469.13,2612.25,4096.68,44.14,30.76,2537,234
471999,1710777270, 2024/3/18 15:54:30,56.76,26.65,469.69,2612.25,4096.68,44.14,30.76,2537,235
473999,1710777272, 2024/3/18 15:54:32,56.76,26.67,470.25,2612.62,4111.33,44.14,30.76,2537,236
475999,1710777274, 2024/3/18 15:54:34,56.77,26.69,470.63,2612.81,4111.33,44.14,30.76,2537,237
477999,1710777276, 2024/3/18 15:54:36,56.74,26.7,470.44,2612.25,4194.34,44.14,30.76,2537,238
480000,1710777278, 2024/3/18 15:54:38,56.74,26.7,470.81,2612.62,4194.34,44.14,30.76,2537,239
481999,1710777280, 2024/3/18 15:54:40,56.7,26.71,471.19,2612.81,4194.34,44.14,30.76,2537,240
483998,1710777282, 2024/3/18 15:54:42,56.68,26.72,472.13,2613.56,4184.57,43.91,30.94,2539,241
485998,1710777284, 2024/3/18 15:54:44,56.69,26.74,472.31,2613.94,4184.57,43.91,30.94,2539,242
