Serial number: 20240001,,,,,,,,,,,,,
Software version: 3.0,,,,,,,,,,,,,
,,,,,,,,,,,,,
millis,stampunix,datetime,RH,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle,Serial number
169999,1710776967, 2024/3/18 15:49:27,56.3,24.31,367.69,2553.37,4189.45,0,0,0,84,1,1
172000,1710776969, 2024/3/18 15:49:29,56.4,24.32,369.19,2554.12,4189.45,0,0,0,85,1,1
174000,1710776971, 2024/3/18 15:49:31,56.49,24.33,370.31,2554.69,4189.45,0,0,0,86,1,1
176000,1710776973, 2024/3/18 15:49:33,56.55,24.35,371.63,2555.25,4096.68,0,0,0,87,1,1
177999,1710776975, 2024/3/18 15:49:35,56.6,24.36,372.38,2555.25,4199.22,0,0,0,88,1,1
179999,1710776978, 2024/3/18 15:49:38,56.63,24.39,373.69,2555.81,4199.22,0,0,0,89,1,1
181999,1710776980, 2024/3/18 15:49:40,56.72,24.41,375,2556.56,4199.22,0,0,0,90,1,1
184000,1710776982, 2024/3/18 15:49:42,56.72,24.4,376.69,2557.5,4184.57,0,0,0,91,1,1
185999,1710776984, 2024/3/18 15:49:44,56.82,24.44,378,2558.25,4184.57,0,0,0,92,1,1
187999,1710776986, 2024/3/18 15:49:46,56.85,24.46,379.13,2558.81,4189.45,0,0,0,93,1,1
189999,1710776988, 2024/3/18 15:49:48,56.91,24.47,380.25,2559.37,4096.68,0,0,0,94,1,1
191998,1710776990, 2024/3/18 15:49:50,56.93,24.5,381.56,2559.75,4116.21,0,0,0,95,1,1
193999,1710776992, 2024/3/18 15:49:52,56.99,24.51,382.5,2560.69,4121.09,0,0,0,96,1,1
195999,1710776994, 2024/3/18 15:49:54,57.06,24.53,383.63,2560.87,4121.09,0,0,0,97,1,1
197999,1710776996, 2024/3/18 15:49:56,57.05,24.53,384.19,2561.06,4199.22,0,0,0,98,1,1
199999,1710776998, 2024/3/18 15:49:58,57.12,24.55,385.31,2561.62,4199.22,0,0,0,99,1,1
201999,1710777000, 2024/3/18 15:50:0,57.13,24.57,386.25,2561.81,4199.22,0,0,0,100,1,1
203999,1710777002, 2024/3/18 15:50:2,57.18,24.58,387.75,2563.5,4184.57,0,0,0,101,1,1
205999,1710777004, 2024/3/18 15:50:4,57.21,24.6,388.69,2563.87,4189.45,0,0,0,102,1,1
207998,1710777006, 2024/3/18 15:50:6,57.24,24.61,389.81,2564.44,4184.57,0,0,0,103,1,1
209999,1710777008, 2024/3/18 15:50:8,57.32,24.64,390.94,2564.81,4096.68,0,0,0,104,1,1
211999,1710777010, 2024/3/18 15:50:10,57.31,24.68,391.88,2565.37,4116.21,0,0,0,105,1,1
213999,1710777012, 2024/3/18 15:50:12,57.35,24.69,392.81,2566.12,4116.21,0,0,0,106,1,1
215999,1710777014, 2024/3/18 15:50:14,57.37,24.7,393.75,2566.5,4121.09,0,0,0,107,1,1
217999,1710777016, 2024/3/18 15:50:16,57.42,24.71,394.13,2566.5,4199.22,0,0,0,108,1,1
220000,1710777018, 2024/3/18 15:50:18,57.44,24.74,395.06,2567.06,4199.22,0,0,0,109,1,1
221999,1710777020, 2024/3/18 15:50:20,57.44,24.76,395.81,2567.81,4199.22,0,0,0,110,1,1
224000,1710777022, 2024/3/18 15:50:22,57.48,24.78,397.13,2568.75,4184.57,0,0,0,111,1,1
226000,1710777024, 2024/3/18 15:50:24,57.51,24.8,398.25,2569.12,4184.57,0,0,0,112,1,1
227999,1710777026, 2024/3/18 15:50:26,57.5,24.8,399,2569.69,4184.57,0,0,0,113,1,1
229999,1710777028, 2024/3/18 15:50:28,57.54,24.81,399.94,2570.44,4096.68,0,0,0,114,1,1
231999,1710777030, 2024/3/18 15:50:30,57.52,24.84,400.69,2570.62,4116.21,0,0,0,115,1,1
233999,1710777032, 2024/3/18 15:50:32,57.57,24.86,401.63,2571.38,4116.21,0,0,0,116,1,1
235999,1710777034, 2024/3/18 15:50:34,57.59,24.88,402.38,2571.94,4121.09,0,0,0,117,1,1
237999,1710777036, 2024/3/18 15:50:36,57.61,24.89,402.75,2571.56,4199.22,0,0,0,118,1,1
240000,1710777038, 2024/3/18 15:50:38,57.63,24.9,403.31,2572.12,4199.22,0,0,0,119,1,1
241999,1710777040, 2024/3/18 15:50:40,57.64,24.9,404.44,2572.69,4199.22,0,0,0,120,1,1
243998,1710777042, 2024/3/18 15:50:42,57.63,24.94,405.75,2573.81,4184.57,0,0,0,121,1,1
245999,1710777044, 2024/3/18 15:50:44,57.64,24.94,406.5,2574.37,4184.57,0,0,0,122,1,1
247999,1710777046, 2024/3/18 15:50:46,57.68,24.98,407.25,2574.56,4184.57,0,0,0,123,1,1
249999,1710777048, 2024/3/18 15:50:48,57.66,25,408.19,2575.12,4096.68,0,0,0,124,1,1
252000,1710777050, 2024/3/18 15:50:50,57.7,25.01,408.75,2575.69,4096.68,0,0,0,125,1,1
253999,1710777052, 2024/3/18 15:50:52,57.68,25.01,409.5,2576.06,4116.21,0,0,0,126,1,1
256000,1710777054, 2024/3/18 15:50:54,57.73,25.06,410.25,2576.44,4121.09,0,0,0,127,1,1
257998,1710777056, 2024/3/18 15:50:56,57.74,25.06,410.25,2576.44,4199.22,0,0,0,128,1,1
259999,1710777058, 2024/3/18 15:50:58,57.72,25.07,411.19,2577,4199.22,0,0,0,129,1,1
261999,1710777060, 2024/3/18 15:51:0,57.73,25.1,411.94,2577.56,4199.22,0,0,0,130,1,1
263999,1710777062, 2024/3/18 15:51:2,57.72,25.11,413.25,2578.5,4184.57,0,0,0,131,1,1
265999,1710777064, 2024/3/18 15:51:4,57.76,25.15,413.81,2579.06,4184.57,0,0,0,132,1,1
267999,1710777066, 2024/3/18 15:51:6,57.75,25.17,414.56,2579.44,4184.57,0,0,0,133,1,1
270000,1710777068, 2024/3/18 15:51:8,57.76,25.16,415.13,2579.81,4091.8,0,0,0,134,1,1
271998,1710777070, 2024/3/18 15:51:10,57.78,25.18,415.69,2580.19,4091.8,0,0,0,135,1,1
273999,1710777072, 2024/3/18 15:51:12,57.76,25.23,416.63,2580.56,4116.21,0,0,0,136,1,1
275998,1710777074, 2024/3/18 15:51:14,57.78,25.22,417.19,2581.12,4121.09,0,0,0,137,1,1
277999,1710777076, 2024/3/18 15:51:16,57.74,25.21,417.19,2580.94,4199.22,0,0,0,138,1,1
279999,1710777078, 2024/3/18 15:51:18,57.79,25.26,418.13,2581.5,4199.22,0,0,0,139,1,1
281999,1710777080, 2024/3/18 15:51:20,57.79,25.28,418.88,2582.06,4199.22,0,0,0,140,1,1
283999,1710777082, 2024/3/18 15:51:22,57.78,25.27,419.81,2582.81,4184.57,0,0,0,141,1,1
286000,1710777084, 2024/3/18 15:51:24,57.79,25.32,420.38,2583.19,4184.57,0,0,0,142,1,1
287998,1710777086, 2024/3/18 15:51:26,57.77,25.32,421.13,2583.94,4184.57,0,0,0,143,1,1
289999,1710777088, 2024/3/18 15:51:28,57.79,25.35,421.88,2584.5,4091.8,0,0,0,144,1,1
291999,1710777090, 2024/3/18 15:51:30,57.78,25.36,422.63,2584.87,4091.8,0,0,0,145,1,1
293999,1710777092, 2024/3/18 15:51:32,57.79,25.38,423,2585.06,4116.21,0,0,0,146,1,1
295999,1710777094, 2024/3/18 15:51:34,57.75,25.41,423.94,2585.44,4111.33,0,0,0,147,1,1
297999,1710777096, 2024/3/18 15:51:36,57.75,25.42,423.94,2585.06,4199.22,0,0,0,148,1,1
299999,1710777098, 2024/3/18 15:51:38,57.76,25.43,424.5,2585.81,4199.22,0,0,0,149,1,1
301999,1710777100, 2024/3/18 15:51:40,57.76,25.45,425.06,2586,4199.22,0,0,0,150,1,1
303998,1710777102, 2024/3/18 15:51:42,57.77,25.45,426.38,2587.12,4184.57,0,0,0,151,1,1
305999,1710777104, 2024/3/18 15:51:44,57.77,25.48,427.13,2587.31,4184.57,0,0,0,152,1,1
307999,1710777106, 2024/3/18 15:51:46,57.76,25.48,427.69,2587.69,4184.57,0,0,0,153,1,1
309999,1710777108, 2024/3/18 15:51:48,57.78,25.52,428.44,2588.25,4096.68,0,0,0,154,1,1
311999,1710777110, 2024/3/18 15:51:50,57.75,25.51,429,2588.44,4101.56,0,0,0,155,1,1
314000,1710777112, 2024/3/18 15:51:52,57.76,25.54,429.75,2589,4116.21,0,0,0,156,1,1
315999,1710777114, 2024/3/18 15:51:54,57.72,25.56,430.13,2589.37,4121.09,0,0,0,157,1,1
318000,1710777116, 2024/3/18 15:51:56,57.75,25.6,430.13,2588.81,4199.22,0,0,0,158,1,1
320000,1710777118, 2024/3/18 15:51:58,57.75,25.58,430.69,2589.56,4199.22,0,0,0,159,1,1
321998,1710777120, 2024/3/18 15:52:0,57.69,25.61,431.63,2589.94,4199.22,0,0,0,160,1,1
323999,1710777122, 2024/3/18 15:52:2,57.75,25.64,432.56,2590.69,4184.57,0,0,0,161,1,1
325999,1710777124, 2024/3/18 15:52:4,57.67,25.64,433.13,2591.06,4184.57,0,0,0,162,1,1
327999,1710777126, 2024/3/18 15:52:6,57.7,25.68,433.69,2591.44,4184.57,0,0,0,163,1,1
329999,1710777128, 2024/3/18 15:52:8,57.7,25.68,434.25,2591.44,4096.68,0,0,0,164,1,1
331999,1710777130, 2024/3/18 15:52:10,57.66,25.68,435,2592.37,4101.56,0,0,0,165,1,1
334000,1710777132, 2024/3/18 15:52:12,57.68,25.74,435.56,2592.56,4116.21,0,0,0,166,1,1
336000,1710777134, 2024/3/18 15:52:14,57.67,25.73,436.13,2592.75,4116.21,0,0,0,167,1,1
337999,1710777136, 2024/3/18 15:52:16,57.62,25.72,436.13,2592.56,4199.22,0,0,0,168,1,1
339999,1710777138, 2024/3/18 15:52:18,57.67,25.74,436.69,2592.94,4199.22,0,0,0,169,1,1
341999,1710777140, 2024/3/18 15:52:20,57.64,25.77,437.25,2593.31,4199.22,0,0,0,170,1,1
343999,1710777142, 2024/3/18 15:52:22,57.62,25.79,438.56,2594.44,4184.57,0,0,0,171,1,1
345999,1710777144, 2024/3/18 15:52:24,57.6,25.79,439.13,2594.44,4184.57,0,0,0,172,1,1
347999,1710777146, 2024/3/18 15:52:26,57.6,25.83,439.5,2595.19,4184.57,0,0,0,173,1,1
349999,1710777148, 2024/3/18 15:52:28,57.62,25.84,439.88,2595.19,4184.57,0,0,0,174,1,1
351998,1710777150, 2024/3/18 15:52:30,57.57,25.85,440.63,2595.75,4184.57,0,0,0,175,1,1
353999,1710777152, 2024/3/18 15:52:32,57.58,25.84,441.19,2595.94,4184.57,0,0,0,176,1,1
355999,1710777154, 2024/3/18 15:52:34,57.54,25.87,441.75,2596.13,4184.57,0,0,0,177,1,1
357999,1710777156, 2024/3/18 15:52:36,57.53,25.88,441.75,2596.13,4199.22,0,0,0,178,1,1
359999,1710777158, 2024/3/18 15:52:38,57.55,25.91,442.13,2596.31,4199.22,0,0,0,179,1,1
361999,1710777160, 2024/3/18 15:52:40,57.52,25.92,442.69,2596.69,4194.34,0,0,0,180,1,1
364000,1710777162, 2024/3/18 15:52:42,57.51,25.95,443.81,2597.44,4184.57,0,0,0,181,1,1
365999,1710777164, 2024/3/18 15:52:44,57.5,25.93,444.38,2597.81,4184.57,0,0,0,182,1,1
367998,1710777166, 2024/3/18 15:52:46,57.5,25.96,444.75,2598.19,4184.57,0,0,0,183,1,1
369999,1710777168, 2024/3/18 15:52:48,57.5,25.95,445.31,2598.56,4101.56,0,0,0,184,1,1
371999,1710777170, 2024/3/18 15:52:50,57.49,26,446.06,2598.94,4101.56,0,0,0,185,1,1
373999,1710777172, 2024/3/18 15:52:52,57.45,26.03,446.44,2599.12,4111.33,0,0,0,186,1,1
375999,1710777174, 2024/3/18 15:52:54,57.44,26.02,446.81,2599.5,4111.33,0,0,0,187,1,1
378000,1710777176, 2024/3/18 15:52:56,57.45,26.02,446.81,2599.12,4199.22,0,0,0,188,1,1
379999,1710777178, 2024/3/18 15:52:58,57.4,26.05,447.38,2599.69,4199.22,0,0,0,189,1,1
381999,1710777180, 2024/3/18 15:53:0,57.43,26.08,447.75,2600.06,4194.34,0,0,0,190,1,1
383998,1710777182, 2024/3/18 15:53:2,57.4,26.07,448.88,2600.81,4184.57,0,0,0,191,1,1
385999,1710777184, 2024/3/18 15:53:4,57.38,26.09,449.25,2601.19,4184.57,0,0,0,192,1,1
387999,1710777186, 2024/3/18 15:53:6,57.37,26.11,449.81,2601.19,4184.57,0,0,0,193,1,1
389999,1710777188, 2024/3/18 15:53:8,57.4,26.11,450.19,2601.56,4101.56,0,0,0,194,1,1
391999,1710777190, 2024/3/18 15:53:10,57.34,26.13,450.75,2601.94,4096.68,0,0,0,195,1,1
393999,1710777192, 2024/3/18 15:53:12,57.32,26.16,451.31,2602.5,4111.33,0,0,0,196,1,1
395998,1710777194, 2024/3/18 15:53:14,57.31,26.17,451.69,2602.31,4116.21,0,0,0,197,1,1
398000,1710777196, 2024/3/18 15:53:16,57.28,26.16,451.69,2602.31,4199.22,0,0,0,198,1,1
399998,1710777198, 2024/3/18 15:53:18,57.3,26.18,452.25,2602.31,4194.34,0,0,0,199,1,1
401999,1710777200, 2024/3/18 15:53:20,57.29,26.19,452.63,2602.69,4199.22,0,0,0,200,1,1
403999,1710777202, 2024/3/18 15:53:22,57.28,26.22,453.56,2603.62,4184.57,0,0,0,201,1,1
405999,1710777204, 2024/3/18 15:53:24,57.26,26.24,454.13,2603.81,4184.57,0,0,0,202,1,1
407999,1710777206, 2024/3/18 15:53:26,57.25,26.25,454.69,2604.38,4184.57,0,0,0,203,1,1
409999,1710777208, 2024/3/18 15:53:28,57.22,26.26,455.06,2604.56,4184.57,0,0,0,204,1,1
412000,1710777210, 2024/3/18 15:53:30,57.22,26.26,455.63,2604.56,4101.56,0,0,0,205,1,1
414000,1710777212, 2024/3/18 15:53:32,57.21,26.29,456.19,2605.12,4111.33,0,0,0,206,1,1
416000,1710777214, 2024/3/18 15:53:34,57.18,26.3,456.56,2605.31,4111.33,0,0,0,207,1,1
417999,1710777216, 2024/3/18 15:53:36,57.18,26.31,456.56,2604.94,4194.34,0,0,0,208,1,1
419999,1710777218, 2024/3/18 15:53:38,57.17,26.34,457.13,2605.31,4194.34,0,0,0,209,1,1
421999,1710777220, 2024/3/18 15:53:40,57.12,26.33,457.5,2605.5,4194.34,0,0,0,210,1,1
424000,1710777222, 2024/3/18 15:53:42,57.13,26.36,458.63,2606.62,4184.57,0,0,0,211,1,1
425999,1710777224, 2024/3/18 15:53:44,57.13,26.36,459,2606.62,4184.57,0,0,0,212,1,1
427999,1710777226, 2024/3/18 15:53:46,57.11,26.39,459.38,2607,4184.57,0,0,0,213,1,1
429999,1710777228, 2024/3/18 15:53:48,57.08,26.4,459.94,2607.19,4101.56,0,0,0,214,1,1
432000,1710777230, 2024/3/18 15:53:50,57.07,26.4,460.31,2607.75,4096.68,0,0,0,215,1,1
433999,1710777232, 2024/3/18 15:53:52,57.07,26.46,461.06,2607.75,4111.33,0,0,0,216,1,1
435999,1710777234, 2024/3/18 15:53:54,57.05,26.45,461.44,2607.94,4111.33,0,0,0,217,1,1
437999,1710777236, 2024/3/18 15:53:56,57.02,26.44,461.44,2607.75,4199.22,0,0,0,218,1,1
439999,1710777238, 2024/3/18 15:53:58,57.01,26.46,462,2608.12,4194.34,0,0,0,219,1,1
441999,1710777240, 2024/3/18 15:54:0,56.99,26.47,462.38,2608.12,4194.34,0,0,0,220,1,1
443999,1710777242, 2024/3/18 15:54:2,56.99,26.5,463.5,2609.06,4184.57,0,0,0,221,1,1
446000,1710777244, 2024/3/18 15:54:4,56.96,26.49,463.88,2609.06,4184.57,0,0,0,222,1,1
447998,1710777246, 2024/3/18 15:54:6,56.96,26.5,464.25,2609.25,4184.57,0,0,0,223,1,1
449999,1710777248, 2024/3/18 15:54:8,56.95,26.54,464.81,2609.81,4096.68,0,0,0,224,1,1
451999,1710777250, 2024/3/18 15:54:10,56.95,26.53,465.38,2610.19,4096.68,0,0,0,225,1,1
453999,1710777252, 2024/3/18 15:54:12,56.9,26.56,465.75,2610,4111.33,0,0,0,226,1,1
455999,1710777254, 2024/3/18 15:54:14,56.89,26.57,466.13,2610.37,4111.33,0,0,0,227,1,1
457999,1710777256, 2024/3/18 15:54:16,56.91,26.57,465.94,2610.19,4194.34,0,0,0,228,1,1
460000,1710777258, 2024/3/18 15:54:18,56.87,26.58,466.5,2610.19,4194.34,0,0,0,229,1,1
461999,1710777260, 2024/3/18 15:54:20,56.85,26.6,466.88,2610.56,4194.34,0,0,0,230,1,1
464000,1710777262, 2024/3/18 15:54:22,56.82,26.6,468,2611.31,4184.57,0,0,0,231,1,1
465999,1710777264, 2024/3/18 15:54:24,56.84,26.64,468.38,2611.87,4184.57,0,0,0,232,1,1
467999,1710777266, 2024/3/18 15:54:26,56.81,26.63,468.75,2611.87,4184.57,0,0,0,233,1,1
469999,1710777268, 2024/3/18 15:54:28,56.79,26.64,469.13,2612.25,4096.68,0,0,0,234,1,1
471999,1710777270, 2024/3/18 15:54:30,56.76,26.65,469.69,2612.25,4096.68,0,0,0,235,1,1
473999,1710777272, 2024/3/18 15:54:32,56.76,26.67,470.25,2612.62,4111.33,0,0,0,236,1,1
475999,1710777274, 2024/3/18 15:54:34,56.77,26.69,470.63,2612.81,4111.33,0,0,0,237,1,1
477999,1710777276, 2024/3/18 15:54:36,56.74,26.7,470.44,2612.25,4194.34,0,0,0,238,1,1
480000,1710777278, 2024/3/18 15:54:38,56.74,26.7,470.81,2612.62,4194.34,0,0,0,239,1,1
481999,1710777280, 2024/3/18 15:54:40,56.7,26.71,471.19,2612.81,4194.34,0,0,0,240,1,1
483998,1710777282, 2024/3/18 15:54:42,56.68,26.72,472.13,2613.56,4184.57,0,0,0,241,1,1
485998,1710777284, 2024/3/18 15:54:44,56.69,26.74,472.31,2613.94,4184.57,0,0,0,242,1,1
487999,1710777286, 2024/3/18 15:54:46,56.62,26.72,472.88,2613.94,4184.57,0,0,0,243,1,1
489999,1710777288, 2024/3/18 15:54:48,56.63,26.76,473.25,2614.31,4184.57,0,0,0,244,1,1
491999,1710777290, 2024/3/18 15:54:50,56.61,26.76,473.63,2614.5,4096.68,0,0,0,245,1,1
494000,1710777292, 2024/3/18 15:54:52,56.64,26.82,474,2614.69,4111.33,0,0,0,246,1,1
