millis,stampunix,datetime,RH%,tempC,CH4smV, CH4rmV, VbatmV, K30_CO2, SampleNumber,Serial number,
9355499,1650887060, 2022/4/25 11:44:20,40.2,31.3,375.98,2309.57,4384.77,358,18711,1,
9356000,1650887060, 2022/4/25 11:44:20,40.2,31.3,375.98,2309.57,4384.77,358,18712,1,
9356499,1650887061, 2022/4/25 11:44:21,40.2,31.3,375.98,2309.57,4384.77,358,18713,1,
9356999,1650887061, 2022/4/25 11:44:21,40.2,31.3,375.98,2309.57,4384.77,358,18714,1,
9357499,1650887062, 2022/4/25 11:44:22,40.2,31.3,375.98,2309.57,4384.77,358,18715,1,
9357999,1650887062, 2022/4/25 11:44:22,40.2,31.3,375.98,2309.57,4384.77,358,18716,1,
9358499,1650887063, 2022/4/25 11:44:23,40.3,31.3,375.98,2309.57,4384.77,358,18717,1,
9358999,1650887063, 2022/4/25 11:44:23,40.2,31.3,375.98,2309.57,4384.77,358,18718,1,
9359500,1650887064, 2022/4/25 11:44:24,40.2,31.3,375.98,2309.57,4384.77,358,18719,1,
9359998,1650887064, 2022/4/25 11:44:24,40.2,31.3,375.98,2309.57,4384.77,358,18720,1,
9360499,1650887065, 2022/4/25 11:44:25,40.2,31.3,375.98,2309.57,4384.77,358,18721,1,
9361000,1650887065, 2022/4/25 11:44:25,40.2,31.3,375.98,2309.57,4384.77,358,18722,1,
9361500,1650887066, 2022/4/25 11:44:26,40.3,31.4,375.98,2309.57,4384.77,358,18723,1,
9361999,1650887066, 2022/4/25 11:44:26,40.2,31.3,375.98,2309.57,4384.77,358,18724,1,
9362499,1650887067, 2022/4/25 11:44:27,40.2,31.3,375.98,2309.57,4384.77,358,18725,1,
9362999,1650887067, 2022/4/25 11:44:27,40.2,31.3,375.98,2309.57,4384.77,358,18726,1,
9363500,1650887068, 2022/4/25 11:44:28,40.2,31.3,375.98,2309.57,4384.77,358,18727,1,
9363999,1650887068, 2022/4/25 11:44:28,40.3,31.4,375.98,2309.57,4384.77,358,18728,1,
9364499,1650887069, 2022/4/25 11:44:29,40.2,31.3,375.98,2309.57,4384.77,358,18729,1,
9365000,1650887069, 2022/4/25 11:44:29,40.3,31.4,375.98,2309.57,4384.77,358,18730,1,
9365499,1650887070, 2022/4/25 11:44:30,40.3,31.4,375.98,2309.57,4384.77,358,18731,1,
9365999,1650887070, 2022/4/25 11:44:30,40.2,31.3,375.98,2309.57,4384.77,358,18732,1,
9366500,1650887071, 2022/4/25 11:44:31,40.2,31.3,375.98,2309.57,4384.77,358,18733,1,
9367000,1650887071, 2022/4/25 11:44:31,40.2,31.3,375.98,2309.57,4384.77,358,18734,1,
9367498,1650887072, 2022/4/25 11:44:32,40.3,31.4,375.98,2309.57,4384.77,358,18735,1,
9367999,1650887072, 2022/4/25 11:44:32,40.2,31.3,375.98,2309.57,4384.77,358,18736,1,
9368500,1650887073, 2022/4/25 11:44:33,40.3,31.4,375.98,2309.57,4384.77,358,18737,1,
9368998,1650887073, 2022/4/25 11:44:33,40.3,31.4,375.98,2309.57,4384.77,358,18738,1,
9369499,1650887074, 2022/4/25 11:44:34,40.3,31.4,375.98,2309.57,4384.77,358,18739,1,
9369999,1650887074, 2022/4/25 11:44:34,40.2,31.3,375.98,2309.57,4384.77,358,18740,1,
9370499,1650887075, 2022/4/25 11:44:35,40.2,31.3,375.98,2309.57,4384.77,358,18741,1,
9370999,1650887075, 2022/4/25 11:44:35,40.3,31.4,375.98,2309.57,4384.77,358,18742,1,
9371498,1650887076, 2022/4/25 11:44:36,40.3,31.4,375.98,2309.57,4384.77,358,18743,1,
9371999,1650887076, 2022/4/25 11:44:36,40.2,31.3,375.98,2309.57,4384.77,358,18744,1,
9372499,1650887077, 2022/4/25 11:44:37,40.2,31.3,375.98,2309.57,4384.77,358,18745,1,
9372999,1650887077, 2022/4/25 11:44:37,40.3,31.4,375.98,2309.57,4384.77,358,18746,1,
9373500,1650887078, 2022/4/25 11:44:38,40.2,31.3,375.98,2309.57,4384.77,358,18747,1,
9373999,1650887078, 2022/4/25 11:44:38,40.3,31.4,375.98,2309.57,4384.77,358,18748,1,
9374498,1650887079, 2022/4/25 11:44:39,40.3,31.4,375.98,2309.57,4384.77,358,18749,1,
9375000,1650887079, 2022/4/25 11:44:39,40.3,31.4,375.98,2309.57,4384.77,358,18750,1,
9375499,1650887080, 2022/4/25 11:44:40,40.3,31.4,375.98,2309.57,4384.77,358,18751,1,
9375998,1650887080, 2022/4/25 11:44:40,40.2,31.3,375.98,2309.57,4384.77,358,18752,1,
9376499,1650887081, 2022/4/25 11:44:41,40.3,31.4,375.98,2309.57,4384.77,358,18753,1,
9377000,1650887081, 2022/4/25 11:44:41,40.2,31.3,375.98,2309.57,4384.77,358,18754,1,
9377499,1650887082, 2022/4/25 11:44:42,40.3,31.4,375.98,2309.57,4384.77,358,18755,1,
9377999,1650887082, 2022/4/25 11:44:42,40.3,31.4,375.98,2309.57,4384.77,358,18756,1,
9378499,1650887083, 2022/4/25 11:44:43,40.3,31.4,375.98,2309.57,4384.77,358,18757,1,
9378999,1650887083, 2022/4/25 11:44:43,40.3,31.4,375.98,2309.57,4384.77,358,18758,1,
9379499,1650887084, 2022/4/25 11:44:44,40.3,31.4,375.98,2309.57,4384.77,358,18759,1,
9379999,1650887084, 2022/4/25 11:44:44,40.2,31.3,375.98,2309.57,4384.77,358,18760,1,
9380500,1650887085, 2022/4/25 11:44:45,40.3,31.4,375.98,2309.57,4384.77,359,18761,1,
9381000,1650887085, 2022/4/25 11:44:45,40.3,31.4,375.98,2309.57,4384.77,359,18762,1,
9381499,1650887086, 2022/4/25 11:44:46,40.3,31.4,375.98,2309.57,4384.77,359,18763,1,
9381999,1650887086, 2022/4/25 11:44:46,40.3,31.4,375.98,2309.57,4384.77,358,18764,1,
9382500,1650887087, 2022/4/25 11:44:47,40.2,31.3,375.98,2309.57,4384.77,358,18765,1,
9383000,1650887087, 2022/4/25 11:44:47,40.3,31.4,375.98,2309.57,4384.77,358,18766,1,
9383499,1650887088, 2022/4/25 11:44:48,40.2,31.4,375.98,2309.57,4384.77,358,18767,1,
9383999,1650887088, 2022/4/25 11:44:48,40.2,31.4,375.98,2309.57,4384.77,359,18768,1,
9384499,1650887089, 2022/4/25 11:44:49,40.2,31.4,375.98,2309.57,4384.77,359,18769,1,
9384999,1650887089, 2022/4/25 11:44:49,40.2,31.4,375.98,2309.57,4384.77,359,18770,1,
9385499,1650887090, 2022/4/25 11:44:50,40.2,31.4,375.98,2309.57,4384.77,359,18771,1,
9385999,1650887090, 2022/4/25 11:44:50,40.3,31.4,375.98,2309.57,4384.77,359,18772,1,
9386499,1650887091, 2022/4/25 11:44:51,40.3,31.4,375.98,2309.57,4384.77,359,18773,1,
9386999,1650887091, 2022/4/25 11:44:51,40.3,31.4,375.98,2309.57,4384.77,359,18774,1,
9387499,1650887092, 2022/4/25 11:44:52,40.3,31.4,375.98,2309.57,4384.77,359,18775,1,
9387999,1650887092, 2022/4/25 11:44:52,40.3,31.4,375.98,2309.57,4384.77,359,18776,1,
9388499,1650887093, 2022/4/25 11:44:53,40.3,31.4,375.98,2309.57,4384.77,359,18777,1,
9388998,1650887093, 2022/4/25 11:44:53,40.3,31.4,375.98,2309.57,4384.77,359,18778,1,
9389499,1650887094, 2022/4/25 11:44:54,40.3,31.4,375.98,2309.57,4384.77,359,18779,1,
9390000,1650887094, 2022/4/25 11:44:54,40.3,31.4,375.98,2309.57,4384.77,359,18780,1,
9390498,1650887095, 2022/4/25 11:44:55,40.3,31.4,375.98,2309.57,4384.77,359,18781,1,
9390999,1650887095, 2022/4/25 11:44:55,40.3,31.4,375.98,2309.57,4384.77,359,18782,1,
9391499,1650887096, 2022/4/25 11:44:56,40.3,31.4,375.98,2309.57,4384.77,359,18783,1,
9392000,1650887096, 2022/4/25 11:44:56,40.3,31.4,375.98,2309.57,4384.77,359,18784,1,
9392499,1650887097, 2022/4/25 11:44:57,40.2,31.4,375.98,2309.57,4384.77,359,18785,1,
9392999,1650887097, 2022/4/25 11:44:57,40.3,31.4,375.98,2309.57,4384.77,359,18786,1,
9393499,1650887098, 2022/4/25 11:44:58,40.3,31.4,375.98,2309.57,4384.77,359,18787,1,
9393998,1650887098, 2022/4/25 11:44:58,40.3,31.4,375.98,2309.57,4384.77,359,18788,1,
9394499,1650887099, 2022/4/25 11:44:59,40.2,31.4,375.98,2309.57,4384.77,359,18789,1,
9394999,1650887099, 2022/4/25 11:44:59,40.2,31.4,375.98,2309.57,4384.77,359,18790,1,
9395499,1650887100, 2022/4/25 11:45:0,40.2,31.4,375.98,2309.57,4384.77,359,18791,1,
9395999,1650887100, 2022/4/25 11:45:0,40.3,31.4,375.98,2309.57,4355.47,359,18792,1,
9396499,1650887101, 2022/4/25 11:45:1,40.2,31.4,375.98,2309.57,4355.47,358,18793,1,
9396999,1650887101, 2022/4/25 11:45:1,40.2,31.4,375.98,2309.57,4355.47,358,18794,1,
9397498,1650887102, 2022/4/25 11:45:2,40.2,31.4,375.98,2309.57,4355.47,358,18795,1,
9397999,1650887102, 2022/4/25 11:45:2,40.3,31.4,375.98,2319.34,4355.47,358,18796,1,
9398499,1650887103, 2022/4/25 11:45:3,40.2,31.4,375.98,2319.34,4360.35,358,18797,1,
9398999,1650887103, 2022/4/25 11:45:3,40.3,31.4,375.98,2319.34,4355.47,358,18798,1,
9399500,1650887104, 2022/4/25 11:45:4,40.2,31.4,385.74,2319.34,4355.47,358,18799,1,
9400000,1650887104, 2022/4/25 11:45:4,40.2,31.4,385.74,2319.34,4360.35,358,18800,1,
9400499,1650887105, 2022/4/25 11:45:5,40.3,31.4,385.74,2319.34,4360.35,358,18801,1,
9400998,1650887105, 2022/4/25 11:45:5,40.2,31.4,385.74,2314.45,4360.35,358,18802,1,
9401499,1650887106, 2022/4/25 11:45:6,40.2,31.4,385.74,2314.45,4360.35,358,18803,1,
9401999,1650887106, 2022/4/25 11:45:6,40.3,31.4,385.74,2314.45,4360.35,358,18804,1,
9402499,1650887107, 2022/4/25 11:45:7,40.3,31.4,385.74,2314.45,4360.35,359,18805,1,
9402999,1650887107, 2022/4/25 11:45:7,40.3,31.4,385.74,2314.45,4360.35,359,18806,1,
9403499,1650887108, 2022/4/25 11:45:8,40.2,31.4,385.74,2314.45,4360.35,359,18807,1,
9404000,1650887108, 2022/4/25 11:45:8,40.3,31.4,385.74,2314.45,4365.23,359,18808,1,
9404498,1650887109, 2022/4/25 11:45:9,40.3,31.4,385.74,2314.45,4365.23,359,18809,1,
9404999,1650887110, 2022/4/25 11:45:10,40.3,31.4,385.74,2314.45,4365.23,359,18810,1,
9405499,1650887110, 2022/4/25 11:45:10,40.2,31.4,385.74,2314.45,4365.23,359,18811,1,
9406000,1650887111, 2022/4/25 11:45:11,40.3,31.4,385.74,2314.45,4365.23,359,18812,1,
9406500,1650887111, 2022/4/25 11:45:11,40.3,31.4,385.74,2314.45,4365.23,358,18813,1,
9406999,1650887112, 2022/4/25 11:45:12,40.3,31.4,385.74,2314.45,4365.23,358,18814,1,
9407499,1650887112, 2022/4/25 11:45:12,40.2,31.4,385.74,2314.45,4365.23,358,18815,1,
9407998,1650887113, 2022/4/25 11:45:13,40.2,31.4,385.74,2314.45,4365.23,358,18816,1,
9408499,1650887113, 2022/4/25 11:45:13,40.3,31.4,385.74,2314.45,4365.23,358,18817,1,
9408999,1650887114, 2022/4/25 11:45:14,40.3,31.4,385.74,2314.45,4365.23,358,18818,1,
9409499,1650887114, 2022/4/25 11:45:14,40.2,31.4,385.74,2314.45,4365.23,358,18819,1,
9409998,1650887115, 2022/4/25 11:45:15,40.3,31.4,385.74,2314.45,4365.23,358,18820,1,
9410499,1650887115, 2022/4/25 11:45:15,40.2,31.4,385.74,2314.45,4365.23,358,18821,1,
9410999,1650887116, 2022/4/25 11:45:16,40.2,31.4,385.74,2314.45,4365.23,358,18822,1,
9411499,1650887116, 2022/4/25 11:45:16,40.2,31.4,385.74,2314.45,4365.23,358,18823,1,
9411999,1650887117, 2022/4/25 11:45:17,40.3,31.4,385.74,2314.45,4365.23,358,18824,1,
9412499,1650887117, 2022/4/25 11:45:17,40.2,31.4,385.74,2314.45,4365.23,358,18825,1,
9412999,1650887118, 2022/4/25 11:45:18,40.3,31.4,385.74,2314.45,4365.23,358,18826,1,
9413498,1650887118, 2022/4/25 11:45:18,40.2,31.4,385.74,2314.45,4365.23,358,18827,1,
9413999,1650887119, 2022/4/25 11:45:19,40.2,31.4,385.74,2314.45,4365.23,358,18828,1,
9414499,1650887119, 2022/4/25 11:45:19,40.3,31.4,385.74,2314.45,4365.23,358,18829,1,
9414999,1650887120, 2022/4/25 11:45:20,40.3,31.4,385.74,2314.45,4365.23,358,18830,1,
9415499,1650887120, 2022/4/25 11:45:20,40.3,31.4,385.74,2314.45,4365.23,358,18831,1,
9415999,1650887121, 2022/4/25 11:45:21,40.3,31.4,385.74,2314.45,4365.23,358,18832,1,
9416499,1650887121, 2022/4/25 11:45:21,40.3,31.4,385.74,2314.45,4365.23,358,18833,1,
9416999,1650887122, 2022/4/25 11:45:22,40.3,31.5,385.74,2314.45,4384.77,358,18834,1,
9417499,1650887122, 2022/4/25 11:45:22,40.3,31.4,385.74,2314.45,4384.77,359,18835,1,
9417999,1650887123, 2022/4/25 11:45:23,40.3,31.5,385.74,2314.45,4384.77,359,18836,1,
9418499,1650887123, 2022/4/25 11:45:23,40.3,31.4,385.74,2314.45,4384.77,359,18837,1,
9418999,1650887124, 2022/4/25 11:45:24,40.3,31.5,385.74,2314.45,4384.77,359,18838,1,
9419499,1650887124, 2022/4/25 11:45:24,40.3,31.5,385.74,2314.45,4384.77,359,18839,1,
9419999,1650887125, 2022/4/25 11:45:25,40.3,31.5,375.98,2314.45,4384.77,359,18840,1,
9420498,1650887125, 2022/4/25 11:45:25,40.3,31.5,375.98,2314.45,4384.77,359,18841,1,
9420999,1650887126, 2022/4/25 11:45:26,40.3,31.5,375.98,2314.45,4384.77,359,18842,1,
9421499,1650887126, 2022/4/25 11:45:26,40.3,31.5,375.98,2314.45,4384.77,359,18843,1,
9421999,1650887127, 2022/4/25 11:45:27,40.3,31.5,375.98,2314.45,4384.77,359,18844,1,
9422499,1650887127, 2022/4/25 11:45:27,40.3,31.5,375.98,2314.45,4384.77,359,18845,1,
9422999,1650887128, 2022/4/25 11:45:28,40.3,31.5,375.98,2314.45,4384.77,359,18846,1,
9423499,1650887128, 2022/4/25 11:45:28,40.4,31.5,375.98,2314.45,4384.77,359,18847,1,
9423998,1650887129, 2022/4/25 11:45:29,40.3,31.5,375.98,2314.45,4384.77,359,18848,1,
9424499,1650887129, 2022/4/25 11:45:29,40.3,31.5,375.98,2314.45,4384.77,359,18849,1,
9424999,1650887130, 2022/4/25 11:45:30,40.3,31.5,375.98,2314.45,4384.77,359,18850,1,
9425500,1650887130, 2022/4/25 11:45:30,40.3,31.5,375.98,2314.45,4384.77,359,18851,1,
9425998,1650887131, 2022/4/25 11:45:31,40.3,31.5,375.98,2314.45,4384.77,359,18852,1,
9426499,1650887131, 2022/4/25 11:45:31,40.3,31.5,375.98,2314.45,4384.77,359,18853,1,
9426999,1650887132, 2022/4/25 11:45:32,40.3,31.5,375.98,2314.45,4384.77,359,18854,1,
9427499,1650887132, 2022/4/25 11:45:32,40.3,31.5,375.98,2314.45,4384.77,359,18855,1,
9427999,1650887133, 2022/4/25 11:45:33,40.3,31.5,375.98,2314.45,4384.77,359,18856,1,
9428499,1650887133, 2022/4/25 11:45:33,40.3,31.5,375.98,2314.45,4384.77,359,18857,1,
9428999,1650887134, 2022/4/25 11:45:34,40.3,31.5,375.98,2314.45,4384.77,359,18858,1,
9429498,1650887134, 2022/4/25 11:45:34,40.3,31.5,375.98,2314.45,4384.77,359,18859,1,
9429999,1650887135, 2022/4/25 11:45:35,40.3,31.5,375.98,2314.45,4384.77,359,18860,1,
9430499,1650887135, 2022/4/25 11:45:35,40.3,31.5,375.98,2314.45,4384.77,359,18861,1,
9430999,1650887136, 2022/4/25 11:45:36,40.3,31.5,375.98,2314.45,4384.77,359,18862,1,
9431499,1650887136, 2022/4/25 11:45:36,40.3,31.5,375.98,2314.45,4384.77,359,18863,1,
9431999,1650887137, 2022/4/25 11:45:37,40.3,31.5,375.98,2314.45,4384.77,359,18864,1,
9432499,1650887137, 2022/4/25 11:45:37,40.3,31.5,375.98,2314.45,4384.77,359,18865,1,
9432998,1650887138, 2022/4/25 11:45:38,40.3,31.5,375.98,2314.45,4384.77,359,18866,1,
9433499,1650887138, 2022/4/25 11:45:38,40.3,31.5,375.98,2314.45,4384.77,359,18867,1,
9433999,1650887139, 2022/4/25 11:45:39,40.3,31.5,375.98,2314.45,4384.77,359,18868,1,
9434499,1650887139, 2022/4/25 11:45:39,40.3,31.5,375.98,2314.45,4384.77,359,18869,1,
9434999,1650887140, 2022/4/25 11:45:40,40.3,31.5,375.98,2314.45,4384.77,359,18870,1,
9435499,1650887140, 2022/4/25 11:45:40,40.3,31.5,375.98,2314.45,4384.77,359,18871,1,
9435999,1650887141, 2022/4/25 11:45:41,40.3,31.5,375.98,2314.45,4384.77,359,18872,1,
9436498,1650887141, 2022/4/25 11:45:41,40.3,31.5,375.98,2314.45,4384.77,359,18873,1,
9436999,1650887142, 2022/4/25 11:45:42,40.3,31.5,375.98,2314.45,4384.77,359,18874,1,
9437499,1650887142, 2022/4/25 11:45:42,40.3,31.5,375.98,2314.45,4384.77,359,18875,1,
9437999,1650887143, 2022/4/25 11:45:43,40.3,31.5,375.98,2314.45,4384.77,359,18876,1,
9438499,1650887143, 2022/4/25 11:45:43,40.3,31.5,375.98,2314.45,4384.77,359,18877,1,
9439000,1650887144, 2022/4/25 11:45:44,40.3,31.5,375.98,2314.45,4384.77,359,18878,1,
9439500,1650887144, 2022/4/25 11:45:44,40.3,31.5,375.98,2314.45,4384.77,359,18879,1,
9440000,1650887145, 2022/4/25 11:45:45,40.3,31.5,375.98,2314.45,4384.77,359,18880,1,
9440500,1650887145, 2022/4/25 11:45:45,40.3,31.5,375.98,2314.45,4384.77,359,18881,1,
9440999,1650887146, 2022/4/25 11:45:46,40.3,31.5,380.86,2314.45,4384.77,359,18882,1,
9441499,1650887146, 2022/4/25 11:45:46,40.3,31.5,375.98,2314.45,4384.77,359,18883,1,
9441999,1650887147, 2022/4/25 11:45:47,40.3,31.5,375.98,2314.45,4384.77,359,18884,1,
9442499,1650887147, 2022/4/25 11:45:47,40.3,31.5,375.98,2314.45,4384.77,359,18885,1,
9442999,1650887148, 2022/4/25 11:45:48,40.3,31.5,375.98,2314.45,4384.77,359,18886,1,
9443500,1650887148, 2022/4/25 11:45:48,40.4,31.6,375.98,2314.45,4384.77,359,18887,1,
9443999,1650887149, 2022/4/25 11:45:49,40.3,31.5,375.98,2314.45,4384.77,359,18888,1,
9444499,1650887149, 2022/4/25 11:45:49,40.3,31.5,375.98,2314.45,4384.77,359,18889,1,
9445000,1650887150, 2022/4/25 11:45:50,40.3,31.5,375.98,2314.45,4384.77,359,18890,1,
9445498,1650887150, 2022/4/25 11:45:50,40.3,31.5,375.98,2314.45,4384.77,359,18891,1,
9445999,1650887151, 2022/4/25 11:45:51,40.3,31.5,375.98,2314.45,4384.77,359,18892,1,
9446499,1650887151, 2022/4/25 11:45:51,40.3,31.5,375.98,2314.45,4384.77,359,18893,1,
9447000,1650887152, 2022/4/25 11:45:52,40.3,31.5,375.98,2314.45,4384.77,359,18894,1,
9447499,1650887152, 2022/4/25 11:45:52,40.3,31.5,375.98,2314.45,4384.77,359,18895,1,
9447999,1650887153, 2022/4/25 11:45:53,40.3,31.5,375.98,2314.45,4384.77,359,18896,1,
9448500,1650887153, 2022/4/25 11:45:53,40.3,31.5,375.98,2314.45,4384.77,359,18897,1,
9448998,1650887154, 2022/4/25 11:45:54,40.3,31.5,375.98,2314.45,4384.77,359,18898,1,
9449499,1650887154, 2022/4/25 11:45:54,40.3,31.5,375.98,2314.45,4384.77,359,18899,1,
9450000,1650887155, 2022/4/25 11:45:55,40.3,31.5,375.98,2314.45,4384.77,359,18900,1,
9450499,1650887155, 2022/4/25 11:45:55,40.4,31.6,380.86,2314.45,4384.77,359,18901,1,
9450998,1650887156, 2022/4/25 11:45:56,40.3,31.5,375.98,2314.45,4384.77,359,18902,1,
9451500,1650887157, 2022/4/25 11:45:57,40.3,31.5,375.98,2314.45,4384.77,359,18903,1,
9451999,1650887157, 2022/4/25 11:45:57,40.3,31.5,375.98,2314.45,4384.77,359,18904,1,
9452498,1650887158, 2022/4/25 11:45:58,40.3,31.5,375.98,2314.45,4384.77,359,18905,1,
9452999,1650887158, 2022/4/25 11:45:58,40.4,31.6,375.98,2314.45,4384.77,359,18906,1,
9453499,1650887159, 2022/4/25 11:45:59,40.4,31.6,380.86,2314.45,4384.77,359,18907,1,
9453999,1650887159, 2022/4/25 11:45:59,40.4,31.6,375.98,2314.45,4384.77,359,18908,1,
9454499,1650887160, 2022/4/25 11:46:0,40.4,31.6,375.98,2314.45,4384.77,359,18909,1,
9454998,1650887160, 2022/4/25 11:46:0,40.4,31.6,375.98,2314.45,4384.77,359,18910,1,
9455499,1650887161, 2022/4/25 11:46:1,40.3,31.5,375.98,2314.45,4384.77,359,18911,1,
9456000,1650887161, 2022/4/25 11:46:1,40.3,31.5,375.98,2314.45,4384.77,359,18912,1,
9456498,1650887162, 2022/4/25 11:46:2,40.4,31.6,375.98,2314.45,4384.77,359,18913,1,
9456999,1650887162, 2022/4/25 11:46:2,40.4,31.6,375.98,2314.45,4384.77,359,18914,1,
9457499,1650887163, 2022/4/25 11:46:3,40.4,31.6,375.98,2314.45,4384.77,359,18915,1,
9457998,1650887163, 2022/4/25 11:46:3,40.4,31.6,375.98,2314.45,4384.77,359,18916,1,
9458499,1650887164, 2022/4/25 11:46:4,40.4,31.6,375.98,2314.45,4384.77,359,18917,1,
9458999,1650887164, 2022/4/25 11:46:4,40.4,31.6,375.98,2314.45,4384.77,359,18918,1,
